"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_get_labels_normal","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"The User Email label has a visible red asterisk.","138","test_required_star_visible_on_email_label[chromium]","tests.e2e","Mon Apr 06 07:28:29 UTC 2026","passed","Mon Apr 06 07:28:30 UTC 2026","","test_e2e_connection","",""
"Generate with a filter triggers SSE, shows log output, re-enables button.","2664","test_generate_with_filter_sse_streaming[chromium]","tests.e2e","Mon Apr 06 07:28:54 UTC 2026","passed","Mon Apr 06 07:28:57 UTC 2026","","test_e2e_ui","",""
"","33","test_estimation_type_shown_in_header","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_html","",""
"Fetch Certificate button shows 'Fetch Certificate' text when no cert exists.","133","test_fetch_cert_button_label_is_fetch_when_no_cert[chromium]","tests.e2e","Mon Apr 06 07:28:42 UTC 2026","passed","Mon Apr 06 07:28:42 UTC 2026","","test_e2e_connection","",""
"","1","test_fetch_sprint_data_orchestration","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"","1","test_import_app_report_html","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_imports","",""
"","0","test_get_issues_with_changelog_multiple_keys","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"Status badge shows neutral/configured state on initial load, not 'Connected'.","134","test_badge_neutral_on_initial_load[chromium]","tests.e2e","Mon Apr 06 07:28:39 UTC 2026","passed","Mon Apr 06 07:28:39 UTC 2026","","test_e2e_connection","",""
"Progress label shows '0 of 3 answered' and bar width is 0% on load.","79","test_progress_starts_at_zero[chromium]","tests.e2e","Mon Apr 06 07:28:24 UTC 2026","passed","Mon Apr 06 07:28:24 UTC 2026","","test_dau_survey_ui","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","1","test_build_jql_from_params[params1-project IN (A, B)-None]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_filter_handlers","",""
"","289","test_generate_ends_with_close_event","tests.component","Mon Apr 06 07:28:06 UTC 2026","passed","Mon Apr 06 07:28:07 UTC 2026","","test_server","",""
"","0","test_get_done_statuses_defaults","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"","0","test_compute_velocity_mixed_statuses","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_velocity_header_label_story_points","tests.component","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_md","",""
"JIRA_API_TOKEN, JIRA_EMAIL, and JIRA_URL values must never appear in logs.","1","test_credentials_not_in_log_output","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_logging_setup","",""
"","0","test_get_labels_missing_fields","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"The Default_Jira_Filter list item does not contain a Remove button.","161","test_default_filter_has_no_remove_button[chromium]","tests.e2e","Mon Apr 06 07:28:46 UTC 2026","passed","Mon Apr 06 07:28:47 UTC 2026","","test_e2e_filters","",""
"","32","test_ai_assistance_sprint_and_pct_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"Removing a saved filter makes it disappear from the list.","471","test_remove_filter[chromium]","tests.e2e","Mon Apr 06 07:28:53 UTC 2026","passed","Mon Apr 06 07:28:53 UTC 2026","","test_e2e_ui","",""
"Saved filename follows dau_<username>_<timestamp>.json pattern (DAU-F-014).","158","test_filename_matches_dau_username_timestamp_pattern[chromium]","tests.e2e","Mon Apr 06 07:28:28 UTC 2026","passed","Mon Apr 06 07:28:28 UTC 2026","","test_dau_survey_ui","",""
"DELETE /api/schemas without ?name= returns 400.","1","test_delete_schema_no_name_returns_400","tests.component","Mon Apr 06 07:28:15 UTC 2026","passed","Mon Apr 06 07:28:15 UTC 2026","","test_server","",""
"Generate Report tab is active by default.","100","test_default_tab_is_generate[chromium]","tests.e2e","Mon Apr 06 07:28:48 UTC 2026","passed","Mon Apr 06 07:28:48 UTC 2026","","test_e2e_ui","",""
"","1","test_ai_assisted_label_custom","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"Progress count advances 1 → 2 → 3 as each field is completed.","123","test_progress_increments_with_each_field[chromium]","tests.e2e","Mon Apr 06 07:28:24 UTC 2026","passed","Mon Apr 06 07:28:24 UTC 2026","","test_dau_survey_ui","",""
"","0","test_fetch_cert_exits_when_hostname_unparseable","tests.integration","Mon Apr 06 07:28:02 UTC 2026","passed","Mon Apr 06 07:28:02 UTC 2026","","test_fetch_ssl_cert","",""
"","1","test_get_schema_detail_rejects_path_traversal","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_server_handlers","",""
"","0","test_missing_dir_returns_zero_count","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
"","1","test_project_type_default_scrum","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"","1","test_slugify_returns_safe_filename[  Team Schema v2  -team_schema_v2]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_server_handlers","",""
